puzzle_code,game_mode,piece_name,board_size,shape_type,density,colors,mobility_rating,agility_rating,challenge_rating,endgame_reason,units_found,total_units,unit_completion_ratio,shapes_completed,total_shapes,shape_completion_ratio,total_moves,completion_score,final_score,elapsed_time_seconds
DAJO-WQZ4-LJPT-G2JE,freestyle,knight,8,domino,high,random,3,3,3.0588235294117645,resigned,1,16,0.0625,0,8,0.0,1,62,190,1
DAJG-2CVZ-6ACF-T7V2,freestyle,knight,8,domino,high,random,3,3,3.0588235294117645,resigned,0,16,0.0,0,8,0.0,1,0,0,1
DAJF-MCZT-R7BL-YOV2,freestyle,knight,8,domino,high,random,3,3,3.0588235294117645,resigned,0,16,0.0,0,8,0.0,1,0,0,12
DAJB-D4OY-JWRX-OJKB,freestyle,knight,8,domino,high,random,3,3,3.0588235294117645,resigned,0,16,0.0,0,8,0.0,1,0,0,1
DAJB-D4OY-JWRX-OJKB,freestyle,knight,8,domino,high,random,3,3,3.0588235294117645,resigned,0,16,0.0,0,8,0.0,1,0,0,10
DBEF-JXEO-4T6Y-5VRG,freestyle,knight,8,tetromino,medium,unique,3,3,2.4705882352941178,resigned,2,16,0.125,0,4,0.0,9,125,309,12
DBEP-WMV2-EHTQ-BSPY,freestyle,knight,8,tetromino,medium,unique,3,3,2.4705882352941178,resigned,1,16,0.0625,0,4,0.0,5,62,153,13
DBEB-DDYK-NEV3-QLLC,freestyle,knight,8,tetromino,medium,unique,3,3,2.4705882352941178,resigned,0,16,0.0,0,4,0.0,1,0,0,6
DBEJ-HOSI-MINY-JEQC,freestyle,knight,8,tetromino,medium,unique,3,3,2.4705882352941178,resigned,1,16,0.0625,0,4,0.0,4,62,153,7
DBEC-OP32-TYPH-7WKU,freestyle,knight,8,tetromino,medium,unique,3,3,2.4705882352941178,resigned,0,16,0.0,0,4,0.0,3,0,0,32
DBEM-W7RQ-PAHT-IHI4,freestyle,knight,8,tetromino,medium,unique,3,3,2.4705882352941178,all shapes completed,16,16,1.0,4,4,1.0,45,2000,4941,68
DBEF-42GJ-65HI-IXTZ,freestyle,knight,8,tetromino,medium,unique,3,3,2.4705882352941178,no legal moves,15,16,0.9375,3,4,0.75,55,1688,4170,92
CVSA-F6OY-CU7V-OHNG,blind draw,knight,5,pentomino,low,same,3,4,2.5294117647058822,all shapes completed,5,5,1.0,1,1,1.0,22,2000,5059,21
CAJM-A4DV-UCDD-33FG,freestyle,knight,16,domino,high,random,3,3,3.0588235294117645,resigned,16,64,0.25,8,32,0.25,49,500,1529,78
DBEG-OW5B-IGSL-ZOFX,freestyle,knight,8,tetromino,medium,unique,3,3,2.4705882352941178,all shapes completed,16,16,1.0,4,4,1.0,48,2000,4941,146
DBFH-3EOF-6OVG-ERIT,freestyle,knight,8,tetromino,medium,random,3,3,2.764705882352941,all shapes completed,16,16,1.0,4,4,1.0,53,2000,5529,118
DBAN-U6LW-XSSD-YDLI,freestyle,knight,8,tetromino,low,unique,3,3,2.1764705882352944,resigned,0,8,0.0,0,2,0.0,4,0,0,10
DKFC-CJ2D-J5XJ-IN5T,freestyle,knight,10,hexomino,medium,random,3,4,2.5294117647058822,all shapes completed,24,24,1.0,4,4,1.0,68,2000,5059,139
DBEJ-7QVC-ZPD6-QTKB,freestyle,knight,8,tetromino,medium,unique,3,3,2.4705882352941178,all shapes completed,16,16,1.0,4,4,1.0,41,2000,4941,55
DBEB-V7P5-4JOW-Z7HQ,freestyle,knight,8,tetromino,medium,unique,3,3,2.4705882352941178,no legal moves,14,16,0.875,2,4,0.5,60,1375,3397,71
DBEB-V7P5-4JOW-Z7HQ,share,knight,8,tetromino,medium,unique,3,3,2.4705882352941178,resigned,3,16,0.1875,0,4,0.0,13,188,464,20
DFVJ-RAQT-T5LB-WUEV,freestyle,knight,9,pentomino,medium,random,3,4,2.5294117647058822,all shapes completed,20,20,1.0,4,4,1.0,54,2000,5059,68
DMVK-NIWW-TTQ4-XBCU,freestyle,knight,11,triomino,medium,random,3,3,2.764705882352941,resigned,0,27,0.0,0,9,0.0,2,0,0,2
DFVJ-RAQT-T5LB-WUEV,share,knight,9,pentomino,medium,random,3,4,2.5294117647058822,no legal moves,16,20,0.8,3,4,0.75,40,1550,3921,48
DBEG-IUJX-GZNW-3XVI,freestyle,knight,8,tetromino,medium,unique,3,3,2.4705882352941178,no legal moves,10,16,0.625,2,4,0.5,37,1125,2779,46
DBEG-IUJX-GZNW-3XVI,freestyle,knight,8,tetromino,medium,unique,3,3,2.4705882352941178,no legal moves,15,16,0.9375,3,4,0.75,52,1688,4170,99
